Date,Open,High,Low,Close,Volume,Market Cap
"Oct 15, 2017",27.65,28.47,26.91,27.73,31189200.00,1382450000.00
"Oct 16, 2017",27.76,29.07,26.96,28.53,34713200.00,1388080000.00
"Oct 17, 2017",28.5,32.55,27.81,31.4,74210000.00,1425090000.00
"Oct 18, 2017",31.66,31.78,28.44,29.67,49659700.00,1583190000.00
"Oct 19, 2017",29.66,29.96,28.48,28.66,30401400.00,1482970000.00
"Oct 20, 2017",28.68,29.5,27.73,27.75,36933700.00,1433880000.00
"Oct 21, 2017",27.76,28.28,26.04,27.13,34058900.00,1387840000.00
"Oct 22, 2017",27.15,29.48,27.1,28.79,36184100.00,1357500000.00
"Oct 23, 2017",28.49,28.65,26.43,27.51,28154800.00,1424610000.00
"Oct 24, 2017",27.34,32.72,26.73,30.15,78225600.00,1367240000.00
"Oct 25, 2017",30.11,30.11,28.54,28.54,35558400.00,1505590000.00
"Oct 26, 2017",28.48,29.39,28.06,28.33,35987900.00,1423950000.00
"Oct 27, 2017",28.33,28.88,28.1,28.76,28919000.00,1416350000.00
"Oct 28, 2017",28.86,28.99,27.17,27.35,25368200.00,1443000000.00
"Oct 29, 2017",27.2,28.61,27.2,27.76,29736500.00,1360230000.00
"Oct 30, 2017",27.72,29.49,27.71,28.79,30968500.00,1801620000.00
"Oct 31, 2017",28.69,30.44,28.47,28.47,61688400.00,1864890000.00
"Nov 01, 2017",28.38,28.44,26.68,26.86,49782800.00,1844740000.00
"Nov 02, 2017",26.75,26.75,22.89,24.5,74455200.00,1738720000.00
"Nov 03, 2017",24.6,26.9,24.39,26.82,40142100.00,1598960000.00
"Nov 04, 2017",26.77,27.74,25.94,26.49,31870600.00,1739980000.00
"Nov 05, 2017",26.48,26.72,25.79,26.38,25229700.00,1721090000.00
"Nov 06, 2017",26.47,26.81,25.95,26.32,26798400.00,1720760000.00
"Nov 07, 2017",26.26,26.52,25.62,26.23,40146900.00,1706600000.00
"Nov 08, 2017",26.17,33.81,26.02,30.67,120273000.00,1700950000.00
"Nov 09, 2017",30.76,33.02,30.58,31.9,79919300.00,1999530000.00
"Nov 10, 2017",31.97,32.44,26.74,28.18,57756900.00,2078110000.00
"Nov 11, 2017",28.15,29.93,27.4,28.53,45994100.00,1829610000.00
"Nov 12, 2017",28.44,28.45,25.31,26.96,63588200.00,1848580000.00
"Nov 13, 2017",27.12,28.97,26.59,28.4,41299400.00,1762620000.00
"Nov 14, 2017",28.4,29.96,28.1,29.73,39436300.00,1845750000.00
"Nov 15, 2017",29.79,30.59,28.26,29.35,45103700.00,1936170000.00
"Nov 16, 2017",29.45,29.93,28.48,28.7,40895700.00,1913970000.00
"Nov 17, 2017",28.71,41.08,28.36,40.5,252834000.00,1866360000.00
